#,Name,Followers,Peak Today
#1,Baldur's Gate 3,611076,712677
#2,Counter-Strike: Global Offensive,3716886,1369511
#3,ARMORED CORE™ VI FIRES OF RUBICON™,158497,147362
#4,Starfield,380721,0
#5,Destiny 2,652401,97124
#6,Warframe,821031,71093
#7,Steam Deck,20305,0
#8,Apex Legends,475717,375835
#9,Call of Duty®,435065,85655
#10,PUBG: BATTLEGROUNDS,3178939,398511
#11,Sunkenland,26743,16835
#12,The Texas Chain Saw Massacre,40315,14885
#13,Forza Horizon 5,347292,25727
#14,NARAKA: BLADEPOINT,489438,218806
#15,Wayfinder,80850,11945
#16,War Thunder,429111,77570
#17,Icarus,200454,9847
#18,Lost Ark,280010,42871
#19,Path of Exile,256900,108672
#20,Tom Clancy's Rainbow Six Siege,1206729,79534
#21,Cyberpunk 2077,1326216,32054
#22,Grand Theft Auto V,2875639,152586
#23,Saints Row,6624,4147
#24,Madden NFL 24,2349,6694
#25,Team Fortress 2,1329115,109372
#26,Remnant II,103045,19707
#27,Rust,1037881,107960
#28,Cult of the Lamb,164140,5598
#29,Cyberpunk 2077: Phantom Liberty,0,0
#30,Dead by Daylight,1491897,42665
#31,Phasmophobia,342200,62171
#32,No Man's Sky,741090,21069
#33,FINAL FANTASY XIV Online,124306,35044
#34,Digital Deluxe Edition DLC,0,0
#35,Black Desert,168313,23376
#36,Warframe: Zenith Heirloom Collection,0,0
#37,ELDEN RING,742225,39998
#38,Icarus: New Frontiers,0,0
#39,F1® 23,22574,7177
#40,Metro Exodus,392979,4515
#41,Dota 2,2152801,775360
#42,PAYDAY 3,142686,0
#43,Blasphemous 2,18216,8393
#44,Crusader Kings III,236555,20879
#45,BattleBit Remastered,175325,17512
#46,Total War: WARHAMMER III,221227,24040
#47,Sons Of The Forest,463035,11133
#48,The Sims™ 4,279175,37713
#49,SMITE,243626,14874
#50,Yu-Gi-Oh! Master Duel,55863,25036
#51,Ready or Not,322818,5001
#52,The Elder Scrolls Online,450178,19360
#53,Forza Horizon 4,277354,13551
#54,Mortal Kombat 1,29146,0
#55,Farming Simulator 22,113938,44415
#56,Wallpaper Engine,1036128,118860
#57,Hogwarts Legacy,574583,13434
#58,Don't Starve Together,624356,58368
#59,Street Fighter™ 6,77517,18963
#60,EA SPORTS™ FIFA 23,140648,66259
#61,Project Zomboid,396550,32612
#62,House Flipper,229280,6352
#63,DAVE THE DIVER,122312,12824
#64,GUILTY GEAR -STRIVE-,83166,5922
#65,Red Dead Redemption 2,648654,39329
#66,Raft,574467,14794
#67,Microsoft Flight Simulator,127604,8978
#68,Valve Index Headset,9888,0
#69,Stardew Valley,723200,48150
#70,EA SPORTS FC™ 24,19144,0
#71,Party Animals,451678,0
#72,Bomb Rush Cyberfunk,34529,2352
#73,Total War: WARHAMMER III – Shadows of Change,0,0
#74,For The King,135277,9993
#75,Call of Duty: Black Ops III,347140,9101
#76,Cities: Skylines,739681,26277
#77,American Truck Simulator,380366,10558
#78,Cities: Skylines II,145548,0
#79,The Outlast Trials,138980,2581
#80,Eternal Return,74538,25857
#81,BeamNG.drive,327474,17110
#82,Destiny 2: Lightfall,0,0
#83,Sea of Thieves,394152,12265
#84,Guild Wars 2,60189,6480
#85,Dying Light,673357,10872
#86,Euro Truck Simulator 2,908387,41932
#87,Hearts of Iron IV,345842,49960
#88,RimWorld,534224,24095
#89,Fallout 76,114379,12834
#90,Gunfire Reborn,113740,9863
#91,ARK: Survival Evolved,1487327,62073
#92,Squad,615241,14373
#93,Terraria,759089,48258
#94,World of Warships,433267,12139
#95,Contraband Police,62119,2059
#96,Vampire Survivors,93680,18734
#97,Call of Duty®: Modern Warfare® II - BlackCell (Season 05),0,0
#98,MARVEL SNAP,12740,12014
#99,Summoners War: Chronicles,16777,7778
#100,Stellaris,474174,16183
